Task ID,Instruction,Suite
0,Put both the alphabet soup and the tomato sauce in the basket.,Libero 10
1,Put both the cream cheese box and the butter in the basket.,Libero 10
2,Turn on the stove and put the moka pot on it.,Libero 10
3,Put the black bowl in the bottom drawer of the cabinet and close it.,Libero 10
4,Put the white mug on the left plate and put the yellow and white mug on the right plate.,Libero 10
5,Pick up the book and place it in the back compartment of the caddy.,Libero 10
6,Put the white mug on the plate and put the chocolate pudding to the right of the plate.,Libero 10
7,Put both the alphabet soup and the cream cheese box in the basket.,Libero 10
8,Put both moka pots on the stove.,Libero 10
9,Put the yellow and white mug in the microwave and close it.,Libero 10
0,Close the top drawer of the cabinet.,Libero 90
1,Close the top drawer of the cabinet and put the black bowl on top of it.,Libero 90
2,Put the black bowl in the top drawer of the cabinet.,Libero 90
3,Put the butter at the back in the top drawer of the cabinet and close it.,Libero 90
4,Put the butter at the front in the top drawer of the cabinet and close it.,Libero 90
5,Put the chocolate pudding in the top drawer of the cabinet and close it.,Libero 90
6,Open the bottom drawer of the cabinet.,Libero 90
7,Open the top drawer of the cabinet.,Libero 90
8,Open the top drawer of the cabinet and put the bowl in it.,Libero 90
9,Put the black bowl on the plate.,Libero 90
10,Put the black bowl on top of the cabinet.,Libero 90
11,Open the top drawer of the cabinet.,Libero 90
12,Put the black bowl at the back on the plate.,Libero 90
13,Put the black bowl at the front on the plate.,Libero 90
14,Put the middle black bowl on the plate.,Libero 90
15,Put the middle black bowl on top of the cabinet.,Libero 90
16,Stack the black bowl at the front on the black bowl in the middle.,Libero 90
17,Stack the middle black bowl on the back black bowl.,Libero 90
18,Put the frying pan on the stove.,Libero 90
19,Put the moka pot on the stove.,Libero 90
20,Turn on the stove.,Libero 90
21,Turn on the stove and put the frying pan on it.,Libero 90
22,Close the bottom drawer of the cabinet.,Libero 90
23,Close the bottom drawer of the cabinet and open the top drawer.,Libero 90
24,Put the black bowl in the bottom drawer of the cabinet.,Libero 90
25,Put the black bowl on top of the cabinet.,Libero 90
26,Put the wine bottle in the bottom drawer of the cabinet.,Libero 90
27,Put the wine bottle on the wine rack.,Libero 90
28,Close the top drawer of the cabinet.,Libero 90
29,Put the black bowl in the top drawer of the cabinet.,Libero 90
30,Put the black bowl on the plate.,Libero 90
31,Put the black bowl on top of the cabinet.,Libero 90
32,Put the ketchup in the top drawer of the cabinet.,Libero 90
33,Close the microwave.,Libero 90
34,Put the yellow and white mug to the front of the white mug.,Libero 90
35,Open the microwave.,Libero 90
36,Put the white bowl on the plate.,Libero 90
37,Put the white bowl to the right of the plate.,Libero 90
38,Put the right moka pot on the stove.,Libero 90
39,Turn off the stove.,Libero 90
40,Put the frying pan on the cabinet shelf.,Libero 90
41,Put the frying pan on top of the cabinet.,Libero 90
42,Put the frying pan under the cabinet shelf.,Libero 90
43,Put the white bowl on top of the cabinet.,Libero 90
44,Turn on the stove.,Libero 90
45,Turn on the stove and put the frying pan on it.,Libero 90
46,Pick up the alphabet soup and put it in the basket.,Libero 90
47,Pick up the cream cheese box and put it in the basket.,Libero 90
48,Pick up the ketchup and put it in the basket.,Libero 90
49,Pick up the tomato sauce and put it in the basket.,Libero 90
50,Pick up the alphabet soup and put it in the basket.,Libero 90
51,Pick up the butter and put it in the basket.,Libero 90
52,Pick up the milk and put it in the basket.,Libero 90
53,Pick up the orange juice and put it in the basket.,Libero 90
54,Pick up the tomato sauce and put it in the basket.,Libero 90
55,Pick up the alphabet soup and put it in the tray.,Libero 90
56,Pick up the butter and put it in the tray.,Libero 90
57,Pick up the cream cheese and put it in the tray.,Libero 90
58,Pick up the ketchup and put it in the tray.,Libero 90
59,Pick up the tomato sauce and put it in the tray.,Libero 90
60,Pick up the black bowl on the left and put it in the tray.,Libero 90
61,Pick up the chocolate pudding and put it in the tray.,Libero 90
62,Pick up the salad dressing and put it in the tray.,Libero 90
63,Stack the left bowl on the right bowl and place them in the tray.,Libero 90
64,Stack the right bowl on the left bowl and place them in the tray.,Libero 90
65,Put the red mug on the left plate.,Libero 90
66,Put the red mug on the right plate.,Libero 90
67,Put the white mug on the left plate.,Libero 90
68,Put the yellow and white mug on the right plate.,Libero 90
69,Put the chocolate pudding to the left of the plate.,Libero 90
70,Put the chocolate pudding to the right of the plate.,Libero 90
71,Put the red mug on the plate.,Libero 90
72,Put the white mug on the plate.,Libero 90
73,Pick up the book and place it in the front compartment of the caddy.,Libero 90
74,Pick up the book and place it in the left compartment of the caddy.,Libero 90
75,Pick up the book and place it in the right compartment of the caddy.,Libero 90
76,Pick up the yellow and white mug and place it to the right of the caddy.,Libero 90
77,Pick up the book and place it in the back compartment of the caddy.,Libero 90
78,Pick up the book and place it in the front compartment of the caddy.,Libero 90
79,Pick up the book and place it in the left compartment of the caddy.,Libero 90
80,Pick up the book and place it in the right compartment of the caddy.,Libero 90
81,Pick up the book and place it in the front compartment of the caddy.,Libero 90
82,Pick up the book and place it in the left compartment of the caddy.,Libero 90
83,Pick up the book and place it in the right compartment of the caddy.,Libero 90
84,Pick up the red mug and place it to the right of the caddy.,Libero 90
85,Pick up the white mug and place it to the right of the caddy.,Libero 90
86,Pick up the book in the middle and place it on the cabinet shelf.,Libero 90
87,Pick up the book on the left and place it on top of the shelf.,Libero 90
88,Pick up the book on the right and place it on the cabinet shelf.,Libero 90
89,Pick up the book on the right and place it under the cabinet shelf.,Libero 90
